,Country,Population,Yearly_Change,Net Change,Density_per_Km2,Land_Area_km,Migrants (net),Fert_Rate,Med_Age,Urban_Pop_Pct,World_Share
188,Saint Lucia,183458,0.46,837,301,610,0.0,1.4,1.4,19,0.0
189,Channel Islands,173536,0.93,1604,915,190,1351.0,1.5,1.5,30,0.0
190,Guam,168474,0.89,1481,313,540,-506.0,2.3,2.3,95,0.0
191,Curaçao,163958,0.41,669,370,444,515.0,1.8,1.8,89,0.0
192,Kiribati,119069,1.57,1843,147,810,-800.0,3.6,3.6,57,0.0
193,Micronesia,114776,1.06,1208,164,700,-600.0,3.1,3.1,21,0.0
194,Grenada,112418,0.46,520,331,340,-200.0,2.1,2.1,35,0.0
195,St. Vincent & Grenadines,110869,0.32,351,284,390,-200.0,1.9,1.9,53,0.0
196,Aruba,106675,0.43,452,593,180,201.0,1.9,1.9,44,0.0
197,Tonga,105449,1.15,1201,147,720,-800.0,3.6,3.6,24,0.0
198,U.S. Virgin Islands,104456,-0.15,-153,298,350,-451.0,2.0,2.0,96,0.0
199,Seychelles,98224,0.62,608,214,460,-200.0,2.5,2.5,56,0.0
200,Antigua and Barbuda,97764,0.84,811,223,440,0.0,2.0,2.0,26,0.0
